"p_val","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj","cluster","gene","avg_log2FC.y","pct.1.y","pct.2.y","sd.1","sd.2","RNA.MTC.123","RNA.MTC.456","se","log2FC","tstat","tstat_corrected"
0,1.66921829531167,0.691,0.349,0,"MTC_456","CCL20",1.66921829531167,0.691,0.349,0.892896474846093,0.170206438216053,0.0262567765801409,0.648007360269852,0.007935586465697,1.66921829531167,210.34592749095,76.3145027937787
0,1.66256542149851,1,0.998,0,"MTC_456","HSPA5",1.66256542149851,1,0.998,0.797824047095394,0.608316594632451,1.9176886281013,8.10988882925703,0.00850902322331389,1.66256542149851,195.388516151095,127.239885266471
0,1.60185494200709,0.994,0.981,0,"MTC_456","HAMP",1.60185494200709,0.994,0.981,0.917150928039099,0.604316512998118,0.913800625039871,3.38544506631909,0.00936930880110204,1.60185494200709,170.968315380818,102.895230868398
0,1.57676802950066,1,1,0,"MTC_456","CD14",1.57676802950066,1,1,0.647539823391855,0.65486330288613,3.9735442311372,14.1659127501341,0.00771360649668119,1.57676802950066,204.413853646679,146.961062523649
0,1.57144227398715,0.789,0.225,0,"MTC_456","RGCC",1.57144227398715,0.789,0.225,0.814754963644487,0.252436203621291,0.037902927482622,0.679288507245237,0.0074134646567758,1.57144227398715,211.971371921343,97.7151601716531
0,1.56858079950396,0.992,0.934,0,"MTC_456","MSR1",1.56858079950396,0.992,0.934,0.508822310320412,0.392480241597266,0.365347279801011,1.72649237138696,0.00544742069099605,1.56858079950396,287.949267824429,192.058948917045
0,1.5381571349544,1,0.987,0,"MTC_456","IFI30",1.5381571349544,1,0.987,0.456632048183781,0.51869405861609,1.1417692454876,4.13867975159089,0.00575726081841059,1.5381571349544,267.168221741088,192.245507578694
0,1.50855927362625,0.881,0.735,0,"MTC_456","PLTP",1.50855927362625,0.881,0.735,0.848761420035793,0.442406313115189,0.204041074048066,1.48628689718623,0.00822894486392344,1.50855927362625,183.323536440247,100.117894655807
0,1.49619134037944,1,0.997,0,"MTC_456","CLIC1",1.49619134037944,1,0.997,0.408113591093925,0.356409829117034,1.02899929842466,3.69837920723762,0.00456854523134369,1.49619134037944,327.498418996584,222.334249217449
0,1.48699517104452,1,0.98,0,"MTC_456","PKM",1.48699517104452,1,0.98,0.570980241774433,0.359844709959301,0.499965559028002,2.19797592578396,0.00576665995217724,1.48699517104452,257.860734528502,162.993619882011
0,1.48103259121262,0.99,0.878,0,"MTC_456","EMP3",1.48103259121262,0.99,0.878,0.489828223622497,0.319804944956836,0.199073920530637,1.20349306141226,0.00499184400291964,1.48103259121262,296.690479579568,193.423130687924
0,1.47043856320653,0.987,0.887,0,"MTC_456","NAMPT",1.47043856320653,0.987,0.887,0.63018935455398,0.374954213952105,0.300088015817332,1.27818139998467,0.00627815450099327,1.47043856320653,234.215096645661,144.908211516835
0,1.45890001087658,0.899,0.343,0,"MTC_456","SOCS3",1.45890001087658,0.899,0.343,0.670924372450041,0.328611651729555,0.0792525033484301,0.746058422142146,0.00643422400739398,1.45890001087658,226.740630913699,132.648457645127
0,1.45627113703167,0.966,0.886,0,"MTC_456","SDF2L1",1.45627113703167,0.966,0.886,0.621531220535299,0.422777586321804,0.290786402194005,1.49463160315879,0.00640449207710774,1.45627113703167,227.382768141282,148.417464146421
0,1.45400236193504,0.828,0.332,0,"MTC_456","TGFBI",1.45400236193504,0.828,0.332,0.708209275019239,0.212752279147084,0.056327571911475,0.651948171432941,0.00642971704083409,1.45400236193504,226.137845989319,116.193865155713
0,1.43329236941898,0.995,0.952,0,"MTC_456","SEC61G",1.43329236941898,0.995,0.952,0.514461750427083,0.316772961295312,0.267070603992597,1.28438242735569,0.00516644440932561,1.43329236941898,277.423360412402,176.353253972022
0,1.42508747661444,0.995,0.931,0,"MTC_456","SLC11A1",1.42508747661444,0.995,0.931,0.564703621946375,0.465756095565407,0.367334651444608,1.81264126351301,0.00618746855602568,1.42508747661444,230.318338381957,156.610886429719
0,1.40920667644607,0.932,0.521,0,"MTC_456","CD9",1.40920667644607,0.932,0.521,0.727579222236177,0.370660341645667,0.125474838956573,0.757009890362643,0.00702490259561547,1.40920667644607,200.601596572402,112.923959612305
0,1.3897895280247,1,1,0,"MTC_456","FCER1G",1.3897895280247,1,1,0.453127011147009,0.467684695473605,2.85371260922253,8.36800122671165,0.00544908545309056,1.3897895280247,255.050051974584,177.555954179519
0,1.37676788827149,0.97,0.763,0,"MTC_456","NME1",1.37676788827149,0.97,0.763,0.508259980468591,0.267200443488542,0.114180751323439,0.831360883232387,0.0049355344650766,1.37676788827149,278.950111282452,176.772369368407
0,1.36131447877497,1,0.992,0,"MTC_456","PGK1",1.36131447877497,1,0.992,0.409394176238974,0.326137891449901,0.630739205306465,2.315608372307,0.00443103301638415,1.36131447877497,307.222824506471,206.072154774143
0,1.35199877795683,1,1,0,"MTC_456","S100A11",1.35199877795683,1,1,0.513772551899295,0.388085022103036,2.97989922826711,8.44288890592651,0.00546293766735192,1.35199877795683,247.485668020113,160.85654196077
0,1.34762289400054,0.899,0.685,0,"MTC_456","RAMP1",1.34762289400054,0.899,0.685,0.73708266321458,0.288776832507281,0.0919752535238309,0.683523729203398,0.00685365131185866,1.34762289400054,196.628458712042,101.151670971682
0,1.34233643770978,0.896,0.352,0,"MTC_456","TREM1",1.34233643770978,0.896,0.352,0.588225558689743,0.208823285092855,0.0558632565852435,0.566976922487152,0.00541383408608711,1.34233643770978,247.945617904955,146.240227332069
0,1.32468146326759,1,0.999,0,"MTC_456","TPI1",1.32468146326759,1,0.999,0.463027182471762,0.347675415620697,0.935301996300793,3.06104117150964,0.0049139647354813,1.32468146326759,269.57488190803,176.953645517198
0,1.32067186142816,1,1,0,"MTC_456","CD63",1.32067186142816,1,1,0.391945146493325,0.381073023385379,2.6579781873844,8.02801502721769,0.00458692688701989,1.32067186142816,287.920844163748,198.865656756558
0,1.31748121957925,1,1,0,"MTC_456","APOE",1.31748121957925,1,1,0.585666705133798,0.616384658758324,8.56974807066775,24.1808970328912,0.00710843370996329,1.31748121957925,185.340578998809,135.312857469637
0,1.30536023455132,0.999,0.998,0,"MTC_456","SLC16A3",1.30536023455132,0.999,0.998,0.455861023025565,0.305110023680524,0.620302315198686,2.38840450816531,0.00467653770786207,1.30536023455132,279.129628818514,184.479599756369
0,1.2902701103352,0.952,0.483,0,"MTC_456","IL4I1",1.2902701103352,0.952,0.483,0.543495310571095,0.204424923082957,0.0544779641558806,0.5595553170283,0.00503115280682827,1.2902701103352,256.456156247937,149.050171226102
0,1.28868228484146,0.997,0.945,0,"MTC_456","GSTO1",1.28868228484146,0.997,0.945,0.463110698961392,0.29951326650656,0.289105172523756,1.22121904469831,0.00470796881212035,1.28868228484146,273.72362398065,176.489072255512
0,1.27607401405027,0.932,0.753,0,"MTC_456","ARID5B",1.27607401405027,0.932,0.753,0.734520968613811,0.432672106134875,0.185863894381011,0.922134478264212,0.00730100424468547,1.27607401405027,174.780615280309,99.3255457682084
0,1.26716758487056,0.844,0.245,0,"MTC_456","ANXA2",1.26716758487056,0.844,0.245,0.599757837735387,0.17419267096415,0.0257388864085732,0.479497048225092,0.00543267945317262,1.26716758487056,233.249098496055,130.653504664681
0,1.25957020357954,0.763,0.119,0,"MTC_456","SDC2",1.25957020357954,0.763,0.119,0.642279141482678,0.0706184598948431,0.00607691817080157,0.33825346929386,0.00565207492805822,1.25957020357954,222.850938745829,110.357980347788
0,1.25585721949964,1,0.999,0,"MTC_456","YBX1",1.25585721949964,1,0.999,0.408575379666878,0.362201825941132,1.39345366413675,4.10933680901635,0.00460065034608108,1.25585721949964,272.973846093172,184.800228236696
