"gene","TF_symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","log2FC","standardized_diff_MTC456_minus_MTC123","OddsRatio","FDR","Significance","pct_in_dorothea","pct_in_collectri","Corroborated"
"ERF","ERF",0,0.183899609227491,0.882,0.559,0,"MTC_123",-0.183899609227491,-0.945309794640478,8.20959170423597,0.705634762018071,"NS",0,0,"Novel"
"ETS1","ETS1",0,0.00171577721204061,0.154,0.023,0,"MTC_456",0.00171577721204061,0.419296795343217,0.251166227334561,0.00135036756182914,"Significant",0,0,"Novel"
"ETV3","ETV3",2.13508999732013e-78,0.00284152167244461,0.998,1,5.0174614937023e-76,"MTC_456",0.00284152167244461,0.0901755321548971,1.63620909916494,0.296770914661764,"NS",0,0,"Novel"
"ETV4","ETV4",1.08788565530809e-08,0.000570834229209248,1,1,2.55653128997402e-06,"MTC_123",-0.000570834229209248,-0.0296829753244505,0.143586721169794,1.54396525259331e-13,"Significant",0,0,"Novel"
"ETV5","ETV5",0,0.0363222213532298,1,1,0,"MTC_123",-0.0363222213532298,-1.5692867737392,1.46925766798236,0.24421721495556,"NS",0,0.62111801242236,"Corroborated"
"FLI1","FLI1",0,0.0222932496018599,1,0.997,0,"MTC_123",-0.0222932496018599,-1.5177542662444,0.878608752944209,0.678848871778026,"NS",0,2.11640211640212,"Corroborated"
"FOS","FOS",0,0.114488330944402,1,1,0,"MTC_123",-0.114488330944402,-1.11544021524392,1.82469027515624,0.0671643874976008,"NS",6.2111801242236,9.3167701863354,"Corroborated"
"FOSB","FOSB",0,0.278961594615227,0.996,0.926,0,"MTC_123",-0.278961594615227,-1.14204551859198,8.20959170423597,0.246236230776463,"NS",0,0,"Novel"
"FOSL1","FOSL1",0,0.0244604606775647,1,1,0,"MTC_456",0.0244604606775647,0.979292773090015,0.462272701467778,0.000200037385561787,"Significant",0,0.598802395209581,"Corroborated"
"FOSL2","FOSL2",0,0.0197995061362715,1,1,0,"MTC_456",0.0197995061362715,0.890068614843597,0.994755934597242,0.988595153491323,"NS",0.887573964497041,1.18343195266272,"Corroborated"
"FOXO3","FOXO3",0,0.0252432175508173,1,0.989,0,"MTC_123",-0.0252432175508173,-1.51026296924219,1.62448829991664,0.00487850466014284,"Significant",1.08225108225108,3.03030303030303,"Corroborated"
"GABPB1","GABPB1",0,0.00450446129585455,0.514,0.171,0,"MTC_456",0.00450446129585455,0.616649478659618,0.286600777873963,0.00397734409952958,"Significant",0,0,"Novel"
"GFI1","GFI1",1.02918431518717e-12,0.00179846618577565,0.37,0.349,2.41858314068986e-10,"MTC_456",0.00179846618577565,0.129595122292123,0.306084750256378,0.0177154466182293,"Significant",0,0,"Novel"
"GTF2B","GTF2B",0,0.0898272333551755,1,1,0,"MTC_123",-0.0898272333551755,-1.17188410373857,0.517511181846592,0.312316508603191,"NS",0,0,"Novel"
"GTF2IRD1","GTF2IRD1",2.39484722095883e-11,0.000318515281725945,0.194,0.165,5.62789096925326e-09,"MTC_123",-0.000318515281725945,-0.0878713189868364,0.473424749726673,0.0674453561642996,"NS",0,0,"Novel"
"HES1","HES1",0,0.0165099323334181,1,1,0,"MTC_123",-0.0165099323334181,-1.33780856162143,0.806887392063553,0.117839931338899,"NS",0,0.874125874125874,"Corroborated"
"HLTF","HLTF",0,0.0208024529020056,0.287,0.023,0,"MTC_123",-0.0208024529020056,-0.636660580018796,1.38204679921744,1,"NS",0,0,"Novel"
"HMBOX1","HMBOX1",0,0.0401446101459924,0.591,0.217,0,"MTC_123",-0.0401446101459924,-0.834115811409051,8.20959170423597,0.706890621802086,"NS",0,0,"Novel"
"HMGA1","HMGA1",0,0.0654077341285866,1,0.997,0,"MTC_456",0.0654077341285866,1.57384474816183,0.383711844309939,0.0177154466182293,"Significant",0,2.38095238095238,"Corroborated"
"IKZF1","IKZF1",0,0.0244492080487805,1,1,0,"MTC_123",-0.0244492080487805,-1.37267837949872,1.56085228186408,6.76354356227562e-05,"Significant",0,0.28735632183908,"Corroborated"
"IKZF2","IKZF2",1.45116646556657e-19,0.000480799467103428,0.98,0.996,3.41024119408144e-17,"MTC_456",0.000480799467103428,0.0486847880838451,0.835209020029313,0.359281410123775,"NS",0,0.29940119760479,"Corroborated"
"ING4","ING4",0,0.0523791794533058,0.911,0.3,0,"MTC_123",-0.0523791794533058,-1.2340856499489,0.517838427537733,0.540482512958452,"NS",0,0,"Novel"
"IRF1","IRF1",6.13708252928631e-05,0.0019322784944381,1,1,0.0144221439438228,"MTC_123",-0.0019322784944381,-0.0868239152542181,0.770630017190109,0.113300724329431,"NS",2.5974025974026,4.41558441558442,"Corroborated"
"IRF2","IRF2",1.3553504802826e-169,0.005760394084842,0.928,0.867,3.18507362866412e-167,"MTC_123",-0.005760394084842,-0.309022254703314,1.61362460472317,0.706890621802086,"NS",0,0,"Novel"
"IRF3","IRF3",8.83288722127555e-21,0.000625706909427987,0.289,0.252,2.07572849699975e-18,"MTC_123",-0.000625706909427987,-0.185237787440029,0.360281339148516,0.00166518186342472,"Significant",0,0,"Novel"
"IRF5","IRF5",0,0.0256154023629265,1,1,0,"MTC_123",-0.0256154023629265,-1.28476165485065,1.31488391416575,0.679303549380551,"NS",0,0,"Novel"
"IRF7","IRF7",0,0.0134683285319594,1,0.998,0,"MTC_456",0.0134683285319594,1.16783030376126,0.901049528001301,0.599425744302817,"NS",0.267379679144385,1.60427807486631,"Corroborated"
"IRF8","IRF8",0,0.12408836605314,1,1,0,"MTC_123",-0.12408836605314,-1.39573753258336,8.20959170423597,0.0375405329369712,"Significant",0,3.33333333333333,"Corroborated"
"IRF9","IRF9",0,0.0143381752621367,1,1,0,"MTC_123",-0.0143381752621367,-1.30994732933567,1.77529600509597,0.000560778666803504,"Significant",1.96078431372549,1.56862745098039,"Corroborated"
"JUN","JUN",0,0.111469060831378,1,1,0,"MTC_123",-0.111469060831378,-1.4291408026351,7.20959170423597,3.98245431159055e-05,"Significant",0.78740157480315,10.2362204724409,"Corroborated"
"JUNB","JUNB",0,0.0321048088758853,1,1,0,"MTC_123",-0.0321048088758853,-1.29275725423393,1.11096228957846,0.46611036613107,"NS",0.119760479041916,6.7065868263473,"Corroborated"
"JUND","JUND",0,0.0376092896946767,1,1,0,"MTC_123",-0.0376092896946767,-1.49298357614375,1.66868666747098,0.000275108042278844,"Significant",0.290275761973875,4.93468795355588,"Corroborated"
"KLF13","KLF13",0,0.0211148091730127,1,1,0,"MTC_123",-0.0211148091730127,-1.51506542952862,1.15182451147225,0.578002748050237,"NS",0,0.290697674418605,"Corroborated"
"KLF2","KLF2",0,0.03991798866909,1,1,0,"MTC_123",-0.03991798866909,-1.57293015805989,2.36062467685804,6.19254321745362e-14,"Significant",0,0.827966881324747,"Corroborated"
"KLF3","KLF3",0,0.0215419809015879,1,1,0,"MTC_123",-0.0215419809015879,-1.11617100773619,1.72941196086422,0.0050626655045622,"Significant",0,0,"Novel"
"KLF4","KLF4",0,0.0349472489326497,1,1,0,"MTC_123",-0.0349472489326497,-1.2917217835856,0.688685684689013,0.000872070448223924,"Significant",0.137551581843191,1.65061898211829,"Corroborated"
"KLF6","KLF6",0,0.0567148588314307,1,1,0,"MTC_123",-0.0567148588314307,-1.29504112521011,1.27180643134264,0.229219699828032,"NS",0.25062656641604,1.00250626566416,"Corroborated"
"KLF7","KLF7",0,0.0155385424729778,1,0.854,0,"MTC_123",-0.0155385424729778,-1.47997572272999,0.811435224302254,0.394125794672226,"NS",0,0,"Novel"
"KLF9","KLF9",0,0.0166822019031754,1,1,0,"MTC_123",-0.0166822019031754,-1.37459026199994,0.688537511944067,0.0131396656117428,"Significant",0,0.254452926208651,"Corroborated"
"KMT2B","KMT2B",7.69127351166345e-150,0.0166348211646633,0.526,0.376,1.80744927524091e-147,"MTC_123",-0.0166348211646633,-0.216115455576594,0.345248636221449,0.331336650022536,"NS",0,0,"Novel"
"MAF","MAF",0,0.0290113012571851,1,1,0,"MTC_123",-0.0290113012571851,-1.54063275341448,1.90414114723371,1.47771875369726e-08,"Significant",0,0.192122958693564,"Corroborated"
"MAFB","MAFB",0,0.0542516994870869,1,1,0,"MTC_456",0.0542516994870869,1.65598720245587,0.574368024936927,1.5868044187534e-06,"Significant",0.33955857385399,0.848896434634975,"Corroborated"
"MAFG","MAFG",2.65117161825614e-18,0.00550494298100872,0.999,0.999,6.23025330290193e-16,"MTC_123",-0.00550494298100872,-0.173183400616869,1.20932583218489,1,"NS",0,0,"Novel"
"MBD2","MBD2",0,0.00660771345716085,1,1,0,"MTC_456",0.00660771345716085,0.563515606461808,1.09910487139926,0.706890621802086,"NS",0,0.523560209424084,"Corroborated"
"MITF","MITF",0,0.015205563963774,0.649,0.436,0,"MTC_456",0.015205563963774,0.572308631568496,0.492587584498838,0.191580204404728,"NS",3.7037037037037,3.7037037037037,"Corroborated"
"MTF1","MTF1",0,0.00189609645005675,0.593,0.41,0,"MTC_456",0.00189609645005675,0.535142014993623,0.570194546142492,0.0427278258330904,"Significant",0,1.85185185185185,"Corroborated"
"MYBL1","MYBL1",0,0.00317359304781249,1,0.999,0,"MTC_123",-0.00317359304781249,-0.727859363367616,0.221555655076674,1.06238316702667e-19,"Significant",0,0,"Novel"
"MYBL2","MYBL2",0,0.00434506692569206,1,0.985,0,"MTC_456",0.00434506692569206,0.589585667668197,0.368107902597328,3.3446170301775e-07,"Significant",0,0.595238095238095,"Corroborated"
"MYC","MYC",0,0.025622905181159,1,1,0,"MTC_456",0.025622905181159,1.13132013707287,0.413248351732662,0.000100868410038029,"Significant",3.84615384615385,7.69230769230769,"Corroborated"
"NFATC3","NFATC3",0,0.00766232425941846,0.969,0.692,0,"MTC_123",-0.00766232425941846,-0.942981883418859,0.299147841524416,1.50944897262188e-05,"Significant",0,0,"Novel"
"NFE2L2","NFE2L2",0,0.0135149440520667,1,1,0,"MTC_123",-0.0135149440520667,-0.5747593248942,0.659654348256538,0.0611275717923089,"NS",0.529100529100529,2.11640211640212,"Corroborated"
"NFIA","NFIA",0,0.029466536945274,1,1,0,"MTC_123",-0.029466536945274,-1.45979887077133,3.23098816435272,2.53746251679834e-14,"Significant",0,0.571428571428571,"Corroborated"
"NFIC","NFIC",3.83221357612001e-269,0.00745430730234199,1,1,9.00570190388203e-267,"MTC_123",-0.00745430730234199,-0.405793687739273,1.71053017821309,0.0035094498655124,"Significant",0,0.733496332518337,"Corroborated"
"NFKB2","NFKB2",0,0.105191189929807,0.996,0.843,0,"MTC_123",-0.105191189929807,-0.80705385652978,1.90171607826541,0.695459783667939,"NS",0,20.8333333333333,"Corroborated"
"NFYC","NFYC",0,0.00232246837084377,0.653,0.44,0,"MTC_456",0.00232246837084377,0.428702212303988,0.449624454730892,0.00866281593846402,"Significant",0,0,"Novel"
"NHLH1","NHLH1",0,0.018124093840709,0.997,0.812,0,"MTC_456",0.018124093840709,1.26281978436277,0.223468251377567,7.99147585631396e-07,"Significant",0,0,"Novel"
"NR2C2","NR2C2",0,0.00658416383641117,0.935,0.615,0,"MTC_123",-0.00658416383641117,-0.835836886974766,0.738827508784864,0.452925593275101,"NS",0,0,"Novel"
"NR3C1","NR3C1",0,0.0206446280323019,1,1,0,"MTC_123",-0.0206446280323019,-1.17543248408168,1.05829778276636,0.863214179539536,"NS",0.668896321070234,5.35117056856187,"Corroborated"
