"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","pos_avgLFC","avg_LFC"
"Adapt_HSPA1A","FFAR4",0.458064371169961,4.05265369536955,1.67812401494745,0.102916329064639,0.295104233668539,-5.16443120330891,1.63087674747563,0.462379523862116,0.213405934090208
"Adapt_HIST","CPSF3",0.630268169796135,4.8699256993675,1.67795869473301,0.102916342299613,0.295104233668539,-4.52106959609192,1.63087668476484,-0.11959216690457,-0.0919939745419769
"Adapt_HIST","CAPZA2",-0.384811592556378,8.44041075969075,-1.67904216106543,0.102918124434222,0.295104233668539,-4.72963981977798,-1.63086824059949,-0.319410366549517,-0.319410366549517
"Homeo_CECR2","ING2",1.28711235977592,4.8611569847601,1.70365309099548,0.102925212311794,0.295104233668539,-4.24157655871989,1.63083465774956,0.723547385280594,0.500917420578873
"Adapt_HSPA1A","PRR15",0.805521565133772,1.36727461060523,1.70036958835747,0.102926075605105,0.295104233668539,-4.68958181657446,1.63083056753231,1.1216941047264,0.258852485706092
"Adapt_AIF1","SLC2A5",-0.302092880162367,8.5792930272052,-1.70128107225301,0.102927083304272,0.295104233668539,-5.40472122808654,-1.63082579316574,-0.258768573549873,-0.258768573549873
"PVM_CD163","ITGA4",1.18813482914463,4.98152741529837,1.68044799776753,0.102929214131964,0.295104233668539,-4.49367145269089,1.63081569766356,0.740368921231834,0.113902910958744
"Adapt_AIF1","UBXN6",-0.234646877628609,5.46343536514931,-1.68233133399983,0.102955722315232,0.295169211807189,-5.24903929871254,-1.63069012025566,-0.26469699329017,-0.203613071761669
"Adapt_CCL3","S100B",0.487081470552884,4.78141736357064,1.68138500038136,0.10298714211814,0.295223516264401,-5.06265656354405,1.63054130829277,1.26519907652731,0.681261041207013
"Adapt_IFI44L","DERL2",-0.43761418948772,6.81895197968254,-1.67462149822562,0.102992437829267,0.295223516264401,-5.08325223428835,-1.63051623004976,-0.186739428508946,-0.158010285661416
"Adapt_CCL3","AGBL3",0.573584410751835,0.463110572944486,1.6799665106891,0.102993053087574,0.295223516264401,-4.63723056436318,1.63051331651372,0.861863352420025,0.19889154286616
"ADAM_GPNMB","SOWAHD",0.715825889180537,3.89526159921444,1.67609800157094,0.10299430589192,0.295223516264401,-4.86749760340105,1.63050738394158,0.364088929698581,0.196047885222313
"Adapt_CCL3","AC068473.5",0.687792151434197,0.373290525550888,1.68289786031978,0.102997012688944,0.295223516264401,-4.62395029916022,1.6304945662792,1.07010249390957,0.164631152909164
"ADAM_GPNMB","HCLS1",-0.287991073292106,8.47117304683477,-1.67724333873203,0.102997735085485,0.295223516264401,-5.16295670690907,-1.63049114551572,0.185214515641491,0.17096724520753
"PVM_CD163","CPNE1",0.792003842863843,5.97507173800849,1.66187213449121,0.103005400731696,0.295234466419435,-4.62823962129627,1.63045484756578,0.385670406348938,0.296669543345337
"Homeo_CECR2","RREB1",-0.777913341825563,5.43817722442897,-1.64634609072539,0.103025625408996,0.295281411155238,-4.71286327857603,-1.63035909108577,-0.108787623033646,-0.0920510656438539
"Adapt_HIST","PRPF19",-0.603155729317261,5.22708275640689,-1.67895430688275,0.103031943268875,0.295284693403881,-4.56401960973655,-1.63032918138471,-0.694062694541143,-0.58728381845789
"Adapt_TMEM163","ZBTB1",0.538381944426725,5.28206668181728,1.64153275387574,0.103034462616278,0.295284693403881,-5.01741720175679,1.63031725482106,0.489545339679109,0.414230672036169
"Adapt_HSPA1A","RNF13",-0.234866612788235,7.49958797576014,-1.68361262806412,0.10305019106517,0.295318745825484,-5.00718198776196,-1.63024280175497,-0.218999924975841,-0.218999924975841
"Adapt_AIF1","IKZF2",-0.547085557365603,2.67968228811336,-1.68167869773335,0.10307738692389,0.295385657504312,-4.96556390888467,-1.63011408723343,-0.013378840808609,-0.0030874248019867
"Adapt_AIF1","CRIPT",-0.24503344981514,5.65015657506251,-1.675524021488,0.103081303361055,0.29538585556495,-5.42138227612033,-1.63009555346166,-0.161774071823816,-0.124441593710628
"Adapt_AIF1","MAP7D1",-0.286896167373356,6.03555704907114,-1.67731634858122,0.103098422394693,0.295423885056255,-5.32255778357282,-1.63001454756026,-0.214675580279652,-0.181648567928936
"Homeo_PICALM","RCSD1",-0.764546461135001,8.24491328270065,-1.68378673767549,0.103119016552059,0.295471869147878,-4.34045402978832,-1.62991711182184,0.0433596831351284,0.0433596831351284
"Prolif_MKI67","SEH1L",0.866776629154412,5.19588991904401,1.66374083288888,0.103145850330792,0.295533903403787,-4.71188219935027,1.62979017819863,-0.349793370630142,-0.242164641205483
"Adapt_HSPA1A","ADNP",0.291638762261644,5.64257666401471,1.67694628741731,0.103148364868532,0.295533903403787,-5.18797439390001,1.62977828485769,0.529832775710741,0.407563673623647
