"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","cluster","gene","pos_avgLFC"
"T Cells","SEC23B",-0.292879239608292,5.30129171019254,-1.13691970417898,0.265379085669145,0.448770539985936,-5.48960546103502,-1.11376716745273,"Favorable_T Cells","SEC23B",-0.371191480154452
"MONO","SAMHD1",0.245659766898465,8.12313965045739,1.13624164192382,0.26544261680419,0.448770539985936,-5.48884358589985,1.11361912816924,"Unfavorable_MONO","SAMHD1",0.35833822706645
"T Cells","PSMB8",0.228420630317038,8.58339702015026,1.13337098463872,0.265450480678562,0.448770539985936,-5.74020763823547,1.1136008055863,"Unfavorable_T Cells","PSMB8",0.0966305923534732
"Myeloid","EOGT",-0.222064570362459,2.98887217835266,-1.13889522495136,0.265452501801224,0.448770539985936,-5.55646467487047,-1.11359609649369,"Favorable_Myeloid","EOGT",-0.222064570362459
"Myeloid","IPO7",0.219632801576647,6.0111890100446,1.13784566016429,0.265467116640336,0.448770539985936,-5.78796462057074,1.11356204554423,"Unfavorable_Myeloid","IPO7",0.126775749808367
"Myeloid","AP005131.6",0.705439703877322,1.19939350589719,1.13364250661269,0.265468440389317,0.448770539985936,-5.05322870139141,1.11355896142012,"Unfavorable_Myeloid","AP005131.6",0.705439703877322
"T Cells","CORO1A",-0.26718767835834,10.2415758540689,-1.13377687119637,0.265477293198395,0.448770539985936,-5.73905746223815,-1.11353833605844,"Favorable_T Cells","CORO1A",-0.445324119127956
"MONO","CRBN",-0.300611262025186,5.62344454990237,-1.13473421035831,0.265625087948723,0.448986217507241,-5.53581242061534,-1.11319407233798,"Favorable_MONO","CRBN",0.0421317583015428
"Myeloid","UFM1",-0.220585999118473,6.84228678875066,-1.13312592078932,0.265660361851018,0.449011682638655,-5.79711378216796,-1.11311192704609,"Favorable_Myeloid","UFM1",-0.28574372455217
"Myeloid","PIGP",-0.227742127358873,5.37908075599331,-1.14017159817876,0.265731821706292,0.449098299725572,-5.76919617630642,-1.11294553551071,"Favorable_Myeloid","PIGP",-0.199171613056532
"T Cells","PSTPIP2",-0.383459760764947,5.12188989571951,-1.13285602037161,0.265753776016401,0.449101243482538,-5.51932505359547,-1.11289442192777,"Favorable_T Cells","PSTPIP2",-0.0812786505515348
"Myeloid","AL021368.2",0.348879564113099,3.40998070416353,1.13280521979468,0.265793027433695,0.449101938204612,-5.70490537780545,1.11280304481341,"Unfavorable_Myeloid","AL021368.2",0.348879564113099
"Myeloid","PCGF5",0.15679185096256,4.95020835476855,1.13282316338176,0.265794612151341,0.449101938204612,-5.80409875701091,1.11279935579334,"Unfavorable_Myeloid","PCGF5",-0.120567851357787
"Myeloid","KNTC1",0.480245325435336,1.39792937209688,1.13298597785859,0.265990224311963,0.449398281042317,-5.12469549030057,1.11234411194372,"Unfavorable_Myeloid","KNTC1",0.480245325435336
