source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
B Cells,MONO,MIF,CD44_CD74,1.659723,0.0,2.7441475,1.1677129,1.3037157,0.03931376,0.9287119,0.07588788638796225,0.0,0.014529270779358382,0.026023099694382847
T Cells,NEUT,HLA-A,LILRA1,2.1127543,0.0,2.139061,1.2649589,1.5665876,0.09426047,0.92001253,0.03152446510608055,0.0,0.014529270779358382,0.026049764561895672
MTC_456,MTC_123,APOE,LRP1,2.1739373,0.0,2.0825226,0.32288858,0.9873748,0.050752863,0.91902137,0.03149981971757953,0.0,0.014529270779358382,0.026139152157887584
NEUT,MONO,PKM,CD44,1.6587124,0.0,2.740585,1.347406,1.5522183,0.05698599,0.92866886,0.07743349580404417,0.0,0.014529270779358382,0.026148334003935774
MTC_123,B Cells,TGFB1,CXCR4,1.8652382,0.0,2.1875365,1.0952513,1.9024158,0.05037715,0.92083323,0.03134545079445862,0.0,0.014529270779358382,0.026679614249315937
MTC_456,NEUT,PKM,CD44,1.6526467,0.0,2.694143,1.3659568,1.6870275,0.0560203,0.9281007,0.07440596770683439,0.0,0.014529270779358382,0.02671667544794103
MTC_456,B Cells,TGFB1,CXCR4,1.8752725,0.0,2.247777,1.1059978,1.9496555,0.051764436,0.9218177,0.03132246375740518,0.0,0.014529270779358382,0.02677038236416347
MTC_456,MTC_123,C1QB,LRP1,2.1487575,0.0,2.0549226,0.24021663,0.58062077,0.048578605,0.9185235,0.031162798097225573,0.0,0.01466584994320624,0.027135435981839734
MTC_456,T Cells,HLA-C,CD3D,1.6389685,0.0,2.5453928,1.5447164,1.3999473,0.112331346,0.92618257,0.03934085596377751,0.0,0.008070195704669958,0.028139163699129124
MTC_Prolif,NEUT,HMGB1,TLR2,1.8685334,0.0,2.1601005,0.6889027,0.9392529,0.048385166,0.92037195,0.030770552416585686,0.0,0.014529270779358382,0.028438229006351744
MONO,NEUT,S100A8,TLR4,1.9647863,0.0,1.925866,1.0714005,2.1455495,0.074503526,0.91606325,0.030585952659072168,0.0,0.014529270779358382,0.028722511602301857
B Cells,MONO,HLA-B,LILRB2,1.8806446,0.0,2.0181735,0.6764008,0.88491243,0.03917342,0.9178457,0.030478256839437966,0.0,0.014529270779358382,0.02920035188447746
T Cells,MTC_456,HLA-A,LILRB1,2.095876,0.0,2.0162742,0.66795766,1.0340939,0.035296015,0.9178102,0.0303870060583632,0.0,0.028134816866823165,0.029586269188680167
MTC_123,NEUT,HMGB1,CD163,1.6293466,0.0,2.4787729,0.40169805,0.6676929,0.032913733,0.9252708,0.06463378465404715,0.0,0.04462670879295216,0.029813515561250257
T Cells,NEUT,HLA-C,LILRA1,1.956339,0.0,1.9550955,1.1302876,1.4496373,0.08835665,0.9166405,0.03004671518054529,0.0,0.014529270779358382,0.030763579731943307
MTC_456,T Cells,HLA-B,CD3G,1.6215932,0.0,2.006049,1.317438,1.052132,0.115138784,0.9176182,0.03618274169620647,0.0,0.014529270779358382,0.030778389676385787
MTC_456,MTC_123,HSPA8,ADRB2,1.631038,0.0,2.0123148,0.1999264,0.5831392,0.05625468,0.91773605,0.030025571673573878,0.0,0.024154677107719093,0.030863019680776448
MTC_Prolif,MONO,APOE,SDC2,2.23805,0.0,2.1759083,0.59820175,0.9145041,0.105150595,0.9206387,0.029994551244204113,0.0,0.014529270779358382,0.030962665173572802
MONO,MONO,HLA-B,LILRB2,1.8812506,0.0,2.0189593,0.67691934,0.833497,0.03918867,0.9178604,0.029937951625573198,0.0,0.014529270779358382,0.03126283665742229
MTC_123,T Cells,HLA-C,CD3D,1.6191177,0.0,2.4952219,1.5283419,1.427635,0.110117234,0.92549914,0.038321422353824006,0.0,0.009033432463524407,0.03133860918941457
B Cells,NEUT,HLA-A,LILRB1,1.7452681,0.0,2.011317,0.41011608,0.5645108,0.035209235,0.91771734,0.02986424345014642,0.0,0.02869749537681955,0.0314639818907461
MTC_456,T Cells,CD14,ITGA4,1.8198218,0.0,1.7689335,1.0370495,1.64167,0.076244265,0.9127371,0.029861946562895363,0.0,0.014529270779358382,0.031564864301855275
MTC_Prolif,MTC_Prolif,HLA-DRB1,CD4,2.0625486,0.0,2.250439,0.3353392,0.24260867,0.048961535,0.9218604,0.029812751805411836,0.0,0.02719078198966794,0.03186875279454973
MTC_Prolif,MTC_123,CD14,TLR4,1.7756737,0.0,2.0833623,0.30276626,0.47579896,0.05659824,0.9190363,0.029793364054723392,0.0,0.014529270779358382,0.0319704632894061
NEUT,T Cells,HLA-E,KLRK1,1.6160282,0.0,2.3477383,1.3961031,1.207204,0.08936474,0.9233713,0.03572921106446422,0.0,0.014529270779358382,0.03226280878133699
NEUT,NEUT,HLA-C,LILRB1,1.7802217,0.0,2.062216,0.43758577,0.498376,0.03702329,0.918656,0.029736067566890814,0.0,0.020700608829565405,0.03237938153463812
MTC_456,MONO,APOE,SDC2,2.177363,0.0,2.1085565,0.56125903,1.3335283,0.101895824,0.91948247,0.02971781329829198,0.0,0.014529270779358382,0.03258508883411536
MTC_456,NEUT,CD14,ITGA4,1.821802,0.0,1.78106,1.0431243,1.432856,0.07676694,0.91300875,0.029661110041224455,0.0,0.014529270779358382,0.032895213882598515
MTC_456,MONO,PKM,CD44,1.6111964,0.0,2.573105,1.3053263,1.8499789,0.053503517,0.9265519,0.06942612593515152,0.0,0.014529270779358382,0.03298546480660881
MONO,T Cells,HLA-C,CD3G,1.6094247,0.0,1.9858015,1.4687971,1.3212862,0.13481255,0.917234,0.035924660075887765,0.0,0.011490736692535279,0.03335063963108684
NEUT,MTC_Prolif,S100A9,TLR4,2.407028,0.0,2.0652826,1.2785413,1.861208,0.07108756,0.9187115,0.029647334481728852,0.0,0.014529270779358382,0.03341627135718011
NEUT,NEUT,HLA-A,LILRB1,1.7684941,0.0,2.0451384,0.42950392,0.44512475,0.0358013,0.91834474,0.029303632655015427,0.0,0.02597166502564394,0.03415457084591391
MONO,NEUT,VCAN,TLR2,1.6995938,0.0,1.9186162,1.7408153,2.3951986,0.11375139,0.9159181,0.029196553722506,0.0,0.007533576873367087,0.03458109580163689
MTC_456,NEUT,HLA-A,LILRB2,1.6033823,0.0,2.3558881,0.83951956,0.7219926,0.05273965,0.92349386,0.0681369466664194,0.0,0.014529270779358382,0.034686637609653855
MONO,T Cells,AGTRAP,RACK1,1.7931098,0.0,1.8840053,0.7560233,1.1228445,0.040030826,0.9152145,0.02908971598125457,0.0,0.014529270779358382,0.03490321218373456
T Cells,MTC_456,HLA-C,LILRB1,1.9394609,0.0,1.8428689,0.53328645,0.9171435,0.033085316,0.914354,0.02896098153152703,0.0,0.043203417831657,0.03533567295840107
NEUT,NEUT,HLA-B,LILRA1,1.988521,0.0,1.9929458,1.0112344,0.998744,0.07614692,0.9173702,0.02884907888261645,0.0,0.014529270779358382,0.035444320042623656
MTC_Prolif,MTC_123,HLA-DPA1,CD4,1.8188841,0.0,1.9587835,0.30391693,0.4889602,0.049617406,0.9167125,0.0288373060152558,0.0,0.014529270779358382,0.03555318022119197
NEUT,NEUT,VCAN,TLR2,1.6877222,0.0,1.9016469,1.7258431,1.9724116,0.11274531,0.9155754,0.028812241511126616,0.0,0.007944239366959656,0.03577154053663423
MTC_456,MTC_Prolif,SPP1,ITGAV_ITGB1,3.1326575,0.0,1.92419,0.38586494,1.749706,0.046337795,0.91602975,0.024828207877703647,0.0,0.014529270779358382,0.0360872817010775
MTC_456,MTC_Prolif,SPP1,ITGAV_ITGB5,3.1326575,0.0,1.92419,0.38586494,1.749706,0.046337795,0.91602975,0.024828207877703647,0.0,0.014529270779358382,0.0360872817010775
MTC_Prolif,NEUT,GNAI2,FPR1,1.5957572,0.0,2.4947724,0.44064963,0.3356322,0.047868002,0.92549294,0.06857812565729741,0.0,0.014529270779358382,0.03621062611449143
NEUT,MTC_Prolif,TNFSF13B,HLA-DPB1,1.595404,0.0,2.0825236,0.80595326,0.80691147,0.08104697,0.91902137,0.05414006459349446,0.0,0.014529270779358382,0.03628792621451749
MONO,NEUT,HLA-A,LILRB1,1.7046353,0.0,1.952148,0.3762021,0.44370162,0.034173448,0.9165829,0.028554710690776804,0.0,0.03540671749697165,0.03665353928183207
MTC_456,NEUT,CD14,TLR4,1.8179202,0.0,1.7572883,0.2840178,0.80984277,0.04773986,0.9124737,0.028454869935334432,0.0,0.014529270779358382,0.03676475461524063
NEUT,MTC_456,S100A8,CD69,2.2025833,0.0,2.0624602,1.2169818,1.664267,0.03439038,0.9186604,0.02843879948768997,0.0,0.03399214223304839,0.03687618506109435
T Cells,MTC_Prolif,CALM1,HMMR,1.5930924,0.0,1.9390392,3.4185212,1.6494195,0.18694599,0.916325,0.03306652156814941,0.0,0.002695908982353535,0.036988370335072206
B Cells,NEUT,HLA-C,LILRB1,1.6489487,0.0,1.8710579,0.32930475,0.46328402,0.033591397,0.91494656,0.028277018408016177,0.0,0.039306070669582416,0.037436569831057316
NEUT,B Cells,TGFB1,CXCR4,1.8339235,0.0,1.9995409,1.0616895,1.7837209,0.046047766,0.91749537,0.028200937162080518,0.0,0.014529270779358382,0.037549294462279885
B Cells,NEUT,VIM,CD44,1.5877788,0.0,2.454748,1.5442736,1.6067517,0.039123558,0.9249334,0.05451553620629402,0.0,0.014529270779358382,0.038015258954035194
T Cells,MTC_123,HLA-A,LILRB1,2.0760758,0.0,1.8722303,0.64349943,1.0171802,0.032774445,0.91497093,0.02799571504622549,0.0,0.04579213854609645,0.038230189985927795
NEUT,MONO,ANXA1,FPR1,1.5859308,0.0,2.3372009,1.1059675,1.0986887,0.05949599,0.92321205,0.06551626153552748,0.0,0.014529270779358382,0.038415002418715496
T Cells,MONO,HMGB1,THBD,1.5854303,0.0,2.068381,0.89069605,1.2796345,0.06825469,0.91876745,0.03300834362356218,0.0,0.014529270779358382,0.038575647007024726
B Cells,MONO,HLA-A,LILRB2,1.7053759,0.0,1.7909167,0.6832466,0.93191487,0.04009202,0.9132277,0.027967014077060173,0.0,0.014529270779358382,0.03868846369506025
MTC_123,MTC_123,HSPA8,ADRB2,1.5846729,0.0,1.935713,0.16335352,0.5578389,0.05411326,0.9162591,0.02901578881717284,0.0,0.04100187824339564,0.03873671925183751
