moa,AvgRank_moa,MOA.pseudo.zscore,N_compounds_moa,MOA.MW.p,Rank_moa,MOA.MW.FDR
histamine receptor modulator,47468.6757575758,0.157743171202556,3,0.780260648587105,156,0.925088604285709
immunosuppressant,47488.7365,0.113818383532662,4,0.773833597653358,157,0.925088604285709
tachykinin antagonist,47513.1619951923,0.134124830909598,8,0.663861671346293,158,0.925088604285709
RNA synthesis inhibitor,47608.0062929238,0.0478548074032479,5,0.887253395462534,159,0.945982504423506
gap junction modulator,47637.9266666667,0.07359027486398,3,0.876944011254306,160,0.944367540310153
rho associated kinase inhibitor,47772.9357553273,-0.0891321630916202,7,0.819980188938486,161,0.931671842581269
constitutive androstane receptor (CAR) agonist,47786.0428571429,0.0357284377068252,2,0.937944127941774,162,0.969114476604491
membrane permeability inhibitor,47814.36,-0.121031063856954,2,0.963248954359466,163,0.984858842223888
vitamin B,47831.375,0.0362707314589095,2,0.93710156971888,164,0.969114476604491
HIV protease inhibitor,47845.5728547379,-0.0380612005800514,9,0.914178947114341,165,0.955163188071919
sodium channel blocker,47911.5784392856,0.0572133034248281,21,0.750311175567328,166,0.925088604285709
5 alpha reductase inhibitor,47987.3893567252,0.125359053422975,3,0.819019435143894,167,0.931671842581269
matrix metalloprotease inhibitor,48125.9213610951,0.0109474091705179,3,0.980330953149381,168,0.986097605814965
anticancer agent,48140.0333447802,0.0609065152033984,4,0.880280830658271,169,0.944367540310153
glucagon receptor antagonist,48337.275,0.0110864684486794,2,0.978451280401528,170,0.986097605814965
ATPase inhibitor,48361.9947719506,0.050697308481856,14,0.857761560932771,171,0.942981658970638
opioid receptor agonist,48514.1801020084,0.0541463283850947,13,0.903705560002459,172,0.950976312371819
carbonic anhydrase inhibitor,48601.7866666667,-0.00886085502838891,6,0.970460321138743,173,0.984858842223888
apoptosis stimulant,48625.6979848568,-0.0684283188669758,9,0.78443185743525,174,0.925088604285709
cholinesterase inhibitor,48699.1,-0.0154105173528896,3,0.96687934596296,175,0.984858842223888
O6-alkylguanine-DNA alkyltransferase inhibitor,48719.425,-0.0135708898712212,2,0.973382695546791,176,0.984902017387581
angiotensin converting enzyme inhibitor,48793.7841397491,-0.148896539329119,11,0.589745292493112,177,0.920972100605682
sterol demethylase inhibitor,48850.0951214939,-0.0217959930342736,9,0.929268168276948,178,0.965986971278772
DNA synthesis inhibitor,48899.5262808363,-0.065491489646039,15,0.776321335449676,179,0.925088604285709
nucleoside reverse transcriptase inhibitor,48913.2180952381,-0.053126462945943,9,0.850066719009134,180,0.942981658970638
cyclooxygenase inhibitor,48981.0458133787,-0.0772949660614517,53,0.536932529977612,181,0.910708941682965
steroid,49098.3580357143,-0.104722694178653,2,0.916062940606987,182,0.955163188071919
phosphodiesterase inhibitor,49180.3708395284,-0.138806423394525,48,0.296455242362225,183,0.85701610097089
dopamine receptor antagonist,49228.4507869899,-0.115354271521823,54,0.367357359684903,184,0.85701610097089
histamine receptor agonist,49241.8798611111,-0.159869018434177,8,0.635431627165109,185,0.925088604285709
calcium/calmodulin dependent protein kinase inhibitor,49308.0979166667,-0.0731952979922844,2,0.899692772062476,186,0.950751777498628
ACAT inhibitor,49333.2726233766,-0.0560365248941708,5,0.867170155459815,187,0.944367540310153
sodium/potassium/chloride transporter inhibitor,49386.6325925926,-0.067252315655425,3,0.860263969587249,188,0.942981658970638
acetylcholine receptor agonist,49411.5645986976,-0.295232078406924,15,0.418680251502746,189,0.87660509119122
glucocorticoid receptor agonist,49440.7622049796,-0.212597936977689,27,0.202480415840795,190,0.817311941080833
XIAP inhibitor,49513.9608907104,-0.143115646056732,4,0.737665955356157,191,0.925088604285709
CDK inhibitor,49535.3627267267,-0.0563944982438848,23,0.757383984611089,192,0.925088604285709
fungal squalene epoxidase inhibitor,49688.9894015252,-0.104422386366284,4,0.770393705941832,193,0.925088604285709
laxative,49762.3206349206,0.216328215573617,3,0.773630051549217,194,0.925088604285709
cytochrome P450 inhibitor,49769.1569469772,-0.155169300078436,13,0.545793520291784,195,0.910708941682965
norepinephrine reuptake inhibitor,49858.1865490114,-0.141668682733139,6,0.662314074343218,196,0.925088604285709
monoamine oxidase inhibitor,49931.6168623506,-0.206978484717648,14,0.349241897260732,197,0.85701610097089
CCK receptor antagonist,50000.0463457619,-0.0897655148576904,6,0.787450992839334,198,0.925457867873032
acetylcholine receptor antagonist,50004.2082264288,-0.158918651523323,29,0.340929375541409,199,0.85701610097089
ribonucleotide reductase inhibitor,50064.3633042219,-0.133704507903907,8,0.611428451949661,200,0.921330740026204
sigma receptor antagonist,50092.9573837371,-0.00108253117460943,6,0.995848867367044,201,0.995848867367044
estrogen receptor antagonist,50109.0607278085,-0.132424225246367,8,0.614220493350803,202,0.921330740026204
acetylcholine release enhancer,50116.97,-0.250728593755971,2,0.880857442569997,203,0.944367540310153
CC chemokine receptor antagonist,50187.5442328431,-0.151279104797974,10,0.596243153909739,204,0.921330740026204
serotonin receptor antagonist,50240.0518071306,-0.195926193929584,56,0.123968910641544,205,0.706622790656801
nitric oxide synthase inhibitor,50242.9235,-0.156381826840027,10,0.57697556052167,206,0.920408974072106
FXR agonist,50313.7190476191,-0.139705841970886,3,0.740079874431247,207,0.925088604285709
leukotriene receptor antagonist,50327.4969384629,-0.0917758302230709,8,0.752557896499931,208,0.925088604285709
GABA benzodiazepine site receptor partial agonist,50343.3583333333,-0.146400879701304,2,0.819027739033436,209,0.931671842581269
glutamate receptor antagonist,50389.9591975657,-0.227677084299494,22,0.320356415147057,210,0.85701610097089
PARP inhibitor,50480.9462795856,-0.19899489623474,10,0.459283767546062,211,0.885974910226924
GABA benzodiazepine site receptor inverse agonist,50491.9,-0.185035776589853,2,0.842569907598582,212,0.941695779080768
glutamate receptor agonist,50565.4441666667,-0.180845426114233,5,0.625773217132523,213,0.925088604285709
benzodiazepine receptor agonist,50590.9790274575,-0.299102305283105,11,0.276833034418106,214,0.85701610097089
adrenergic receptor antagonist,50683.4139193644,-0.314053264643024,44,0.0407157061320243,215,0.639704370445633
