assay,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,diffexpressed,cluster,pos_avgLFC,avg_LFC,gene
Myeloid,FRRS1,2.6704130781875577,-0.14205033759152955,3.439565984789093,0.0017422532208760159,0.018173734686059716,-1.3323987195685323,3.1309778138700644,NS,Bad_Myeloid,2.6704130781875577,0.6676032695468894,FRRS1
Myeloid,SOS1,1.0722596236472226,4.21738184912874,4.541670258016014,7.76348002919668e-5,0.0033142585793666446,1.5252211869321757,3.9515865007949653,NS,Bad_Myeloid,1.3449208747655401,0.6724604373827701,SOS1
T Cells,SOS1,1.6175821258838576,5.353245017744218,4.4698829906430095,9.513430212736852e-5,0.0036662402435890954,1.155208648979225,3.9026778104673157,NS,Bad_T Cells,1.3449208747655401,0.6724604373827701,SOS1
Myeloid,RNF215,2.692236491216293,1.771396924611074,4.497007998197619,8.821697666645283e-5,0.003509923024772273,1.4099729694822267,3.92090516799796,NS,Bad_Myeloid,2.692236491216293,0.6730591228040732,RNF215
Myeloid,HES4,2.342480772372282,2.9420569195951525,4.65567626166569,6.670103049178208e-5,0.0031321105380556547,1.7653113203656456,3.987756647759056,NS,Bad_Myeloid,0.907673819032104,0.680755364274078,HES4
NEUT,HES4,1.122805621122966,7.663463380814752,3.048146922818713,0.005586468438165797,0.0361760692233364,-2.451681383102122,2.7711150488094978,NS,Bad_NEUT,0.907673819032104,0.680755364274078,HES4
MONO,HES4,-0.7422649363989358,6.222839290620423,-2.032219373580959,0.05996991607404294,0.1672251151341099,-4.3107452667394925,-1.8810147230776584,NS,Good_MONO,0.907673819032104,0.680755364274078,HES4
Myeloid,PKIB,2.72343889328619,0.02643979528217466,4.792281350453577,5.121595959463108e-5,0.002725182698237695,1.8141947700085668,4.05000764560692,NS,Bad_Myeloid,2.72343889328619,0.6808597233215475,PKIB
T Cells,URI1,1.6796869054844912,6.9364001413016965,4.577032789637552,6.93545439650657e-5,0.0031577052367764554,1.442874620335786,3.978489258473584,NS,Bad_T Cells,1.3785208885591889,0.6892604442795944,URI1
Myeloid,URI1,1.0773548716338865,5.775624939744759,4.1939822860923055,2.1084492990683352e-4,0.005598928892742352,0.5228972477614784,3.7056552520492296,NS,Bad_Myeloid,1.3785208885591889,0.6892604442795944,URI1
Myeloid,TNFSF9,2.7599386809183506,4.119441595757451,4.752081662345297,8.748654133353653e-5,0.0034934499199406033,2.017571060081056,3.9229080654312227,NS,Bad_Myeloid,2.7599386809183506,0.6899846702295876,TNFSF9
NEUT,IRF1,1.5558395026224172,7.954758299548585,5.617495570988164,1.9375290640654024e-5,0.0016778241879487142,3.5611934694030634,4.271970852581259,NS,Bad_NEUT,0.7010731181468064,0.7010731181468064,IRF1
MONO,IRF1,0.889352177046919,7.401526833417311,3.2125780362004988,0.00334935858929178,0.026433358244725192,-1.9182467467676805,2.9337110488299833,NS,Bad_MONO,0.7010731181468064,0.7010731181468064,IRF1
T Cells,IRF1,0.38697954282038083,9.45108227620007,2.1070415776780633,0.048630782841408045,0.1458461152660563,-4.307079967779998,1.9718145316600586,NS,Bad_T Cells,0.7010731181468064,0.7010731181468064,IRF1
Myeloid,IRF1,-0.027878749902491506,6.762439786484202,-0.12891370700360572,0.8982739077547639,0.940168946394952,-6.19546079837522,-0.12784213116008922,NS,Good_Myeloid,0.7010731181468064,0.7010731181468064,IRF1
Myeloid,AC007620.2,2.807439671092588,1.2307756635727516,3.3819025890541563,0.0019430315185643128,0.01926616565536298,-1.3276257109758616,3.0988045552279875,NS,Bad_Myeloid,2.807439671092588,0.701859917773147,AC007620.2
Myeloid,AC004918.4,2.829014520142743,0.2084837621786449,3.986251131350298,4.043946325645605e-4,0.00788293598383229,0.10887250062503373,3.5371991372399485,NS,Bad_Myeloid,2.829014520142743,0.7072536300356858,AC004918.4
Myeloid,HOMER3,1.221865023971099,5.6745259564262724,5.644453092434246,6.4924147205483775e-6,9.470023303319553e-4,4.049429739365209,4.509684375085451,NS,Bad_Myeloid,1.4242372590318313,0.7121186295159156,HOMER3
MONO,HOMER3,1.6266094940925635,5.760775531998103,4.759083883477822,5.334593145641261e-5,0.0028037919839588015,1.617016840574201,4.040462338913528,NS,Bad_MONO,1.4242372590318313,0.7121186295159156,HOMER3
