assay,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,pos_avgLFC,avg_LFC,gene
Adapt_AIF1,SOS1,0.9927825506701424,4.115526523762598,4.259933000883243,1.6928266923532843e-4,0.0062331761246642485,0.5783718455323186,3.7609301960628327,1.1447437688141067,0.7631625125427378,SOS1
Adapt_HIST,SOS1,1.2524421831164219,4.71789671978426,4.184534662654801,5.51433081023597e-4,0.01250818299199467,0.5335507022095705,3.4544418684722,1.1447437688141067,0.7631625125427378,SOS1
PVM_CD163,SOS1,0.8887051193299076,4.687288621393701,2.829189028853837,0.008502952495050757,0.06299992851150758,-2.8581802316349347,2.6314174349063615,1.1447437688141067,0.7631625125427378,SOS1
Adapt_HIF1A,SOS1,1.3590958617799753,4.684042923859635,2.7353515269722717,0.011196338111523051,0.07424349062395726,-2.754282375711285,2.5365105124244036,1.1447437688141067,0.7631625125427378,SOS1
Adapt_HSPA1A,SOS1,0.8446353056679277,4.306086350285121,2.628722540318914,0.014425566308001394,0.08628526113543082,-3.1910368975252354,2.446487840885287,1.1447437688141067,0.7631625125427378,SOS1
Homeo_FRMD4A,SOS1,0.8983832965855978,5.133382760650241,2.5677952160445168,0.01573632292115328,0.09075744994094397,-3.203283923316693,2.4149742318284746,1.1447437688141067,0.7631625125427378,SOS1
Adapt_AIF1,MAN1A2,0.7516462304346172,5.236321807436918,4.751949763052426,4.1238087822558505e-5,0.0026766682145622314,1.9052043990585492,4.100431282814864,0.7643219249488306,0.7643219249488306,MAN1A2
Adapt_HIST,MAN1A2,1.0044486628624663,5.425895995224528,4.619045111953104,7.99140065045111e-5,0.0039501808487160265,1.6857161311838462,3.9446578269194976,0.7643219249488306,0.7643219249488306,MAN1A2
Adapt_HIF1A,MAN1A2,1.9103447140774188,5.188647070599094,3.8391597784755453,6.254196127968363e-4,0.013505930627009183,-0.5006236412814076,3.4203441450042686,0.7643219249488306,0.7643219249488306,MAN1A2
Adapt_CCL3,MAN1A2,0.7542754637935545,5.119061854987544,3.70160923420673,8.576686914572762e-4,0.01621815470976215,-0.7268781650203877,3.3334798973965034,0.7643219249488306,0.7643219249488306,MAN1A2
PVM_GPNMB,MAN1A2,0.7110152875753819,5.35742775916794,3.317055117604335,0.0023687418866331685,0.02955349092415089,-1.6957337659774874,3.0396233398447605,0.7643219249488306,0.7643219249488306,MAN1A2
Adapt_IFI44L,MAN1A2,0.9679429382519809,5.700284640236444,3.2992001528907133,0.005209524854930708,0.0471758300130913,-1.554859999118003,2.7937840873243553,0.7643219249488306,0.7643219249488306,MAN1A2
Adapt_HSPA1A,MAN1A2,0.6326499707854456,5.1572260564680334,2.544037229071369,0.0164826302772723,0.0934032740754496,-3.3145248063347346,2.3980496639088638,0.7643219249488306,0.7643219249488306,MAN1A2
PVM_CD163,MAN1A2,0.5918997746841512,5.649577700733833,2.0225777856542266,0.05312321083348728,0.1887462187260867,-4.460410920356974,1.9339179983465402,0.7643219249488306,0.7643219249488306,MAN1A2
Homeo_FRMD4A,MAN1A2,0.5170898387521188,5.466969067810569,1.8586209121906372,0.08209874171046141,0.24544037880636918,-4.522007104299727,1.7386363880328781,0.7643219249488306,0.7643219249488306,MAN1A2
Adapt_TMEM163,MAN1A2,0.5022854565752528,5.929246937782281,1.5992712766809054,0.12012168214769588,0.3088817726076209,-5.157449878057385,1.55426305548633,0.7643219249488306,0.7643219249488306,MAN1A2
Homeo_PICALM,MAN1A2,0.30131820906906004,5.879196154969201,0.944067269162226,0.35160269894290874,0.5796408589435101,-5.6596039784630445,0.9314850798562484,0.7643219249488306,0.7643219249488306,MAN1A2
Prolif_MKI67,MAN1A2,0.5269465525245192,5.269124122233215,0.8448681805447471,0.4203156068363393,0.6403174413864485,-5.359184020991355,0.8058738219827433,0.7643219249488306,0.7643219249488306,MAN1A2
PVM_CD163,EP300,1.582635343738775,6.407655886867229,5.832489407709345,2.5482951896381233e-6,5.198408423683663e-4,4.766243063564079,4.704227061695481,0.7645919366941983,0.7645919366941983,EP300
Adapt_TMEM163,EP300,1.9283138737116694,6.279376091416232,4.825818278618636,3.7105269534344054e-5,0.002511889320550891,2.2076293752447205,4.124802702203006,0.7645919366941983,0.7645919366941983,EP300
Adapt_AIF1,EP300,0.8837035780823177,5.5226071448818725,5.185743132460772,1.541779761444893e-4,0.005878316745867699,3.2457772017803075,3.7842416360542,0.7645919366941983,0.7645919366941983,EP300
PVM_GPNMB,EP300,0.810643254683149,6.040320013139326,3.546119817898753,0.001203808661997418,0.019756290200917362,-1.1112613575104717,3.23797616533277,0.7645919366941983,0.7645919366941983,EP300
Adapt_HIF1A,EP300,1.1704279312185983,5.924907977410324,2.8567258341705277,0.0076981837114381306,0.05939527305937786,-2.6344880583792376,2.66502833081912,0.7645919366941983,0.7645919366941983,EP300
Adapt_IFI44L,EP300,0.7768093191947143,6.056971731615349,2.6465868591728925,0.011858640735228864,0.07671016257025523,-3.1245548010619673,2.516323120890224,0.7645919366941983,0.7645919366941983,EP300
Adapt_HIST,EP300,0.75063375121404,6.31060611015938,2.6763618075247138,0.012663244699943165,0.07968821910642301,-3.1222878824849603,2.493102044213434,0.7645919366941983,0.7645919366941983,EP300
Adapt_CCL3,EP300,0.6928662888481885,6.135995568319883,2.6308277590313756,0.014824031086096421,0.08767023885060195,-3.199392345901968,2.4366497248329053,0.7645919366941983,0.7645919366941983,EP300
Homeo_FRMD4A,EP300,0.601093820134615,6.219802357425301,2.353827882960513,0.028125790871662153,0.1293356157673948,-3.647860393572865,2.1955273547342804,0.7645919366941983,0.7645919366941983,EP300
Homeo_PICALM,EP300,0.44024885898340305,6.378893136407713,1.4842737230662135,0.14696015344150257,0.3481685695811179,-5.15954467717204,1.4503528313293208,0.7645919366941983,0.7645919366941983,EP300
Adapt_HSPA1A,EP300,0.2416075526589383,6.226556422779495,0.9186230147854378,0.36518337466845807,0.5922435514436113,-5.862360670539027,0.9055324538913355,0.7645919366941983,0.7645919366941983,EP300
Prolif_MKI67,EP300,-0.703880332138028,5.069665412832807,-0.7065077728767293,0.4963821884569124,0.7011604803972349,-5.550185570718388,-0.6801931194235076,0.7645919366941983,0.7645919366941983,EP300
PVM_CD163,ZMYM4,1.603119783382879,5.666043318828613,5.76132095834868,3.6218616227460606e-6,6.41476615703028e-4,4.475733251413227,4.631979420737556,0.8360747142627534,0.7664018214075239,ZMYM4
Adapt_AIF1,ZMYM4,0.9696099824136661,4.942743903939558,5.409001763544645,5.737269449743756e-6,8.422984212521971e-4,3.811768164783481,4.535847250457659,0.8360747142627534,0.7664018214075239,ZMYM4
Adapt_HIST,ZMYM4,0.9606044107666891,5.3870495876083515,4.862117141924199,3.0511135290787264e-5,0.002252352709390184,2.3684012338502773,4.169617446294947,0.8360747142627534,0.7664018214075239,ZMYM4
Adapt_CCL3,ZMYM4,1.0471989152383427,5.0859894244171855,4.301377771495091,1.5439553502719227e-4,0.005881704020898333,0.8409163464698075,3.783890882352932,0.8360747142627534,0.7664018214075239,ZMYM4
PVM_GPNMB,ZMYM4,0.8042130909235548,5.298179774909675,3.0757213112814914,0.0042871572505207515,0.042038384702025956,-2.2569946642744316,2.8562216537798966,0.8360747142627534,0.7664018214075239,ZMYM4
Adapt_HIF1A,ZMYM4,1.3168210264536544,5.449679966340468,2.4535371058387647,0.02087798368444714,0.10773205214579504,-3.2664695922202034,2.310183743174932,0.8360747142627534,0.7664018214075239,ZMYM4
Homeo_FRMD4A,ZMYM4,0.6251005524930813,5.557432762134087,2.1315175352058597,0.041028129262040976,0.1619091330415025,-4.041888943681933,2.0432456253802602,0.8360747142627534,0.7664018214075239,ZMYM4
Adapt_HSPA1A,ZMYM4,0.5036342511289913,5.301531698241422,1.8246258077324728,0.07724831218046327,0.23655084199622559,-4.689629927633136,1.7668800892926484,0.8360747142627534,0.7664018214075239,ZMYM4
Adapt_IFI44L,ZMYM4,0.506886537897266,5.737727840674228,1.660093379712572,0.10785253020352462,0.2891777643748885,-4.854133688684452,1.6079207795700872,0.8360747142627534,0.7664018214075239,ZMYM4
Adapt_TMEM163,ZMYM4,0.40755693760968725,5.690784031255422,1.1843485591733023,0.24607894802440278,0.47141557087438923,-5.622153225665453,1.1599259703738185,0.8360747142627534,0.7664018214075239,ZMYM4
Prolif_MKI67,ZMYM4,0.4520763685824747,5.252002254198166,0.9241728152729898,0.3693636941069751,0.59598771172578,-5.811654885960318,0.8976659003922617,0.8360747142627534,0.7664018214075239,ZMYM4
Adapt_IFI44L,SSBP4,1.09432025256248,5.815490436270017,4.502903880257001,6.417479110711493e-5,0.0034297860580580312,1.6269544626148145,3.9969096104893818,0.7665701731482041,0.7665701731482041,SSBP4
Adapt_AIF1,SSBP4,0.852244027523267,5.798004727558187,4.337578372879579,1.5126805112266952e-4,0.005820794607200323,0.7939679296607514,3.7889784212342716,0.7665701731482041,0.7665701731482041,SSBP4
Adapt_TMEM163,SSBP4,1.1682873301934897,6.123976986467705,4.024052000181533,3.5178652200137283e-4,0.009537161152686284,0.07930557751588108,3.5738380777670318,0.7665701731482041,0.7665701731482041,SSBP4
Adapt_HSPA1A,SSBP4,0.5721620302380579,5.563959075426397,3.719130410277173,8.41094707443542e-4,0.016020768093635954,-0.6728095112407537,3.3389045133588797,0.7665701731482041,0.7665701731482041,SSBP4
Adapt_CCL3,SSBP4,0.6636630301588582,5.463003265457775,3.8541758302325473,9.652418442579829e-4,0.0173751136786955,-0.37479731550677897,3.3004666512228256,0.7665701731482041,0.7665701731482041,SSBP4
Prolif_MKI67,SSBP4,1.738155896638434,6.088430355684094,4.005447160864314,0.002182907353567935,0.0281495559535168,-0.4001360721662408,3.0641482120622543,0.7665701731482041,0.7665701731482041,SSBP4
PVM_GPNMB,SSBP4,0.6996242894618305,5.396961532046562,2.6754811216001912,0.011624698048559657,0.07584895684847869,-3.16082356765081,2.523336873447442,0.7665701731482041,0.7665701731482041,SSBP4
Homeo_FRMD4A,SSBP4,0.4733675076067394,5.61995216848549,2.6626810055611423,0.012865205927458464,0.08044824972360103,-3.0294084536306873,2.487478970925069,0.7665701731482041,0.7665701731482041,SSBP4
Adapt_HIST,SSBP4,0.488359684435256,5.576300076681708,1.9593224180340907,0.05967727970021443,0.2020414385345853,-4.498734467440199,1.8831703952230898,0.7665701731482041,0.7665701731482041,SSBP4
Homeo_PICALM,SSBP4,0.5548169536711072,5.704161839249519,1.818915387788739,0.07776601613377848,0.23748700843634352,-4.494457572253943,1.7637978707206823,0.7665701731482041,0.7665701731482041,SSBP4
Adapt_HIF1A,SSBP4,0.524942386819192,5.461560752808853,1.2302601976851684,0.2292290697871372,0.452291650931527,-5.114210364959073,1.202347114988292,0.7665701731482041,0.7665701731482041,SSBP4
PVM_CD163,SSBP4,0.36889868846973695,5.999017667432911,1.0506614312811078,0.30211304111113707,0.5310201625512518,-5.8605754086335216,1.031912646300343,0.7665701731482041,0.7665701731482041,SSBP4
Adapt_AIF1,FAM107B,1.8934151851801309,5.210989255153417,4.8370813853648045,4.121558095967438e-5,0.0026766682145622314,2.0056621202802214,4.100557611067326,0.837965772969406,0.7681352918886222,FAM107B
Adapt_CCL3,FAM107B,1.017812065046134,5.248745860145451,2.6178915642396943,0.013870844559509722,0.08431370031882897,-3.213933991452881,2.460590858326718,0.837965772969406,0.7681352918886222,FAM107B
Adapt_IFI44L,FAM107B,1.3524201350706777,5.279811797445747,2.577086210132503,0.014113364869956152,0.08516476827106588,-3.1772452617911053,2.454364994032137,0.837965772969406,0.7681352918886222,FAM107B
Adapt_HSPA1A,FAM107B,1.0110125666377652,4.95469429156598,2.485278829344664,0.01833255882008201,0.09953995072457479,-3.424452124779288,2.358831883559815,0.837965772969406,0.7681352918886222,FAM107B
Homeo_FRMD4A,FAM107B,0.6789361508235192,5.127820931568979,2.0361038459245413,0.05031628484862382,0.18284343564602534,-4.123144755691917,1.9572653009371455,0.837965772969406,0.7681352918886222,FAM107B
