p_val	p_val_adj	cluster	gene	avg_log2FC.y	pct.1.y	pct.2.y	sd.1	sd.2	RNA.MTC.123	RNA.MTC.456	se	tstat	log2FC
0	0	MTC_456	CLIC1	1.4986519953432542	1	0.997	0.4179321071625355	0.35126052691531956	1.0178080398062108	3.643716667918578	0.00460413834437215	325.5010782148033	1.4986519953432542
0	0	MTC_456	PLTP	1.493675212385237	0.877	0.734	0.8477876519477148	0.44057810958782534	0.20213434594737315	1.457057011943217	0.008166797906396616	182.89606642712698	1.493675212385237
0	0	MTC_456	PKM	1.4912204217770522	1	0.98	0.5729421484912934	0.354005163275414	0.49178211339529554	2.1659791181551893	0.005732545265042011	260.13234136514467	1.4912204217770522
0	0	MTC_456	EMP3	1.4740458597367878	0.988	0.877	0.5021059288456953	0.3147493468545927	0.19583606128062972	1.1822849846015173	0.005042138000761728	292.3454017946554	1.4740458597367878
0	0	MTC_456	NAMPT	1.4519032751580254	0.982	0.888	0.6433585026954147	0.37021154407903717	0.29952075422285185	1.2496296852700541	0.006329602748890118	229.38300123378414	1.4519032751580254
0	0	MTC_456	SDF2L1	1.4441027096854344	0.965	0.885	0.6262001853208321	0.4229756452643619	0.28917375932957506	1.4694268759858686	0.006416204683148422	225.07117228947493	1.4441027096854344
0	0	MTC_456	CD9	1.4420159178324286	0.923	0.517	0.7313536641400982	0.34440793109216694	0.11409192091136053	0.7506617591827713	0.006924093032184959	208.2606214459524	1.4420159178324286
0	0	MTC_456	SOCS3	1.4387468250652806	0.886	0.341	0.6776582981607017	0.32790875719731055	0.07955479900484701	0.7279260872831166	0.006444675830570183	223.24580209924844	1.4387468250652806
0	0	MTC_456	TGFBI	1.4380731366109485	0.817	0.326	0.707191337068735	0.2055402439046084	0.05440618043734485	0.6347660181777485	0.006350762637807709	226.44101482390988	1.4380731366109485
0	0	MTC_456	SEC61G	1.4278733059615694	0.994	0.952	0.5215587141797935	0.3125421613658755	0.26425559774782775	1.2637812664312966	0.00517960171071399	275.67241377035185	1.4278733059615694
0	0	MTC_456	SLC11A1	1.4117744928329952	0.993	0.93	0.5795182221394016	0.4640935643759772	0.36375802016498093	1.7801397130624133	0.006271191735245279	225.12060744348742	1.4117744928329952
0	0	MTC_456	FCER1G	1.3986940915364259	1	1	0.4561538351723921	0.4636774524171165	2.8245017677098314	8.256552242169317	0.005450280386353186	256.62791496719683	1.3986940915364259
0	0	MTC_456	NME1	1.3689568038360704	0.967	0.76	0.5131220978786929	0.2647541417563408	0.11228754746629341	0.8168436866221125	0.004936232061638857	277.3282914461621	1.3689568038360704
0	0	MTC_456	S100A11	1.3654102766369505	1	1	0.5156053128258932	0.3795165656967938	2.939481471782116	8.345037181702098	0.005422089132901619	251.82365010407975	1.3654102766369505
0	0	MTC_456	PGK1	1.3580533074624312	1	0.992	0.4173358534011808	0.32396923749899736	0.6272148749508947	2.279918876286326	0.004467011631334254	304.01830564672014	1.3580533074624312
0	0	MTC_456	RAMP1	1.349443327506897	0.898	0.682	0.7345907706961032	0.28009505901510595	0.0877150713631089	0.6747840456696654	0.006757956431806715	199.6821585229025	1.349443327506897
0	0	MTC_456	APOE	1.347881590467578	1	1	0.5925761492215669	0.6039022082464187	8.35767971716642	23.925922031097276	0.007088952573121877	190.1383281330079	1.347881590467578
0	0	MTC_456	CD63	1.3281705896025273	1	1	0.3944995046665272	0.37653797766140035	2.631405001964118	7.924437767595541	0.004579581105228209	290.02010425937027	1.3281705896025273
0	0	MTC_456	TPI1	1.3259547783827617	1	0.999	0.46561918203910935	0.34470060557367044	0.9292208982584865	3.0174746488394697	0.004905513345255561	270.298883126101	1.3259547783827617
0	0	MTC_456	TREM1	1.3236122538667048	0.88	0.351	0.5957820877292019	0.2078239886699967	0.05577582820479451	0.554835123563451	0.005430480311429623	243.73760293005313	1.3236122538667048
0	0	MTC_456	GSTO1	1.2902193570446738	0.996	0.943	0.4663821491629775	0.29437684241464396	0.2855309676574623	1.2022624502366022	0.004691682436224668	275.0014253059496	1.2902193570446738
0	0	MTC_456	SLC16A3	1.290181423288142	0.999	0.998	0.4687448227203361	0.303346330469199	0.6205132905591156	2.3488349733343252	0.004746456414269937	271.8199243143345	1.290181423288142
0	0	MTC_456	ARID5B	1.2825607474350846	0.923	0.755	0.7409587424659196	0.421795734650737	0.18052638470605545	0.9095650867573168	0.007272371365904258	176.36073337071792	1.2825607474350846
0	0	MTC_456	IL4I1	1.274516982877362	0.941	0.481	0.5485185002043658	0.2042658705957085	0.05339269346602384	0.5492045369188091	0.005033054977421722	253.22929882444032	1.274516982877362
0	0	MTC_456	YBX1	1.269017480500791	1	0.999	0.40907499307730744	0.35510651494326073	1.3753803849679203	4.058171711860581	0.0045635234845215426	278.0784375943317	1.269017480500791
0	0	MTC_456	ANXA2	1.2651930268825002	0.833	0.238	0.6024302926698685	0.15900609011031855	0.022768102658112174	0.47119056561257977	0.005377363144103054	235.28130665118672	1.2651930268825002
0	0	MTC_456	P4HB	1.2467378716575774	0.998	0.975	0.4605619880675112	0.3421124136866484	0.41900484483434247	1.6530008262600293	0.0048575562554000465	256.6594818683992	1.2467378716575774
0	0	MTC_456	SDC2	1.2428355585135922	0.751	0.114	0.6407931509801661	0.06649672474535626	0.005654052638470585	0.3306001652520327	0.0055796706920603475	222.74353220918547	1.2428355585135922
0	0	MTC_456	CALR	1.2309988853386233	1	0.998	0.5788226743618189	0.5132256300937206	1.4820976823360041	4.338982948997226	0.00651237914949855	189.02444975633975	1.2309988853386233
0	0	MTC_456	PFN1	1.2032239502512034	1	0.999	0.5017820960958215	0.4338013804360368	1.9384548906638706	5.594618793660322	0.005588672321399106	215.2969222482488	1.2032239502512034
0	0	MTC_456	HBEGF	1.191010125551533	0.813	0.536	0.6681163248830299	0.24178518713138222	0.06800314259526427	0.5817351460978243	0.006112038412695816	194.86299743757962	1.191010125551533
0	0	MTC_456	IFITM2	1.1801682193892518	0.999	0.955	0.4230013704959194	0.3323874519396753	0.3140107372004736	1.076118080072109	0.00454681844367295	259.55912557526796	1.1801682193892518
0	0	MTC_456	MANF	1.1680538102044111	0.982	0.888	0.49105259309697075	0.37709240573777414	0.25711143119027213	1.1023961541350549	0.00523664229792083	223.05396163266263	1.1680538102044111
0	0	MTC_456	FPR1	1.1642171724646349	1	0.993	0.5262676630760859	0.40538960840161375	0.9243236873117721	2.8787410801472277	0.00561810092635903	207.2261049997083	1.1642171724646349
0	0	MTC_456	HIF1A	1.1501509837595931	0.994	0.97	0.638764558022555	0.35590908957937134	0.44613329841561467	1.2597791632239232	0.006240313484200402	184.3098085811897	1.1501509837595931
